Category	Question	Answer
Account	This is question 1?	The answer is 42.
Account	Question 2?	Two are better than one.
Pay It Forward	This is another question?	I don’t know.
Pay It Forward	I wonder what would happen?	We’ll have to find out.
Registering	What goals should I have?	To love God and be kind.
Registering	Why does the sun rise in the east?	So that we can have daylight.
Racing	Can difficulty be avoided?	Almost certainly not.
Racing	Can we be sure?	Yes. Yes we can.
Racing	What is the point?	To leave a legacy.
Racing	Will I live forever?	Not likely.
